datetime,clientip,url,action,sentbytes,app_risk_score
2026-02-01 16:00:00,10.30.8.41,https://okta.company.example/app/home,Allowed,900,1
2026-02-01 16:00:02,10.30.8.41,https://confluence.company.example/display/IT/Patch+Rollout,Allowed,1800,2
2026-02-01 16:00:04,10.30.12.55,https://mdm.company.example/devices,Allowed,1400,3
2026-02-01 16:00:06,10.30.12.55,https://cdn.company.example/static/portal.js,Allowed,4800,2
2026-02-01 16:00:10,10.30.12.55,https://updates.vendor.example/windows/cumulative/KB9999999.msu,Allowed,6000001,2
2026-02-01 16:00:12,10.30.12.55,https://releases.vendor.example/endpoint-agent/agent-6.4.1.pkg,Allowed,9500000,1
2026-02-01 16:00:14,10.30.8.41,https://github.company.example/releases/security-agent/6.4.1,Allowed,1200,4
2026-02-01 16:00:16,10.30.8.41,https://github.company.example/releases/security-agent/6.4.1,Allowed,1200,7
2026-02-01 16:00:18,172.16.12.9,https://backup.company.example/mdm/compliance/upload,Allowed,5200000,3
2026-02-01 16:00:20,172.16.12.9,https://backup.company.example/mdm/compliance/upload,Allowed,12500000,2
2026-02-01 16:00:22,192.168.30.18,https://siem.company.example/collector/heartbeat,Allowed,820,2
2026-02-01 16:00:24,192.168.30.18,https://siem.company.example/collector/status,Allowed,760,1
2026-02-01 16:00:26,10.30.19.73,https://cdn.company.example/static/portal.css,Allowed,2900,1

